Nom;Prénom;Âge;Taille;Poids;Nationalité;Poste;Club;Contrat;Statut JIFF
DUHAU;Arthur;22;181;86;France;Ailier;Bayonne;Espoir;JIFF
YAMEOGO;Kévin;22;193;125;France;Pilier;Lyon;Espoir;JIFF
DELORD;Quentin;21;171;74;France;Mêlée;Brive;Espoir;JIFF
VILI;Tani;19;187;109;France;Centre;Clermont;Espoir;JIFF
VERNET;Corentin;23;200;127;France;2ème ligne;Toulon;Pro;JIFF Formé
GROS;Jean-Baptiste;20;187;110;France;Pilier;Toulon;Espoir;JIFF
SMAÏLI;Mathieu;20;180;84;France;Ouverture;Toulon;Espoir;JIFF
PARIS;Léonard;23;180;92;France;Centre;Racing 92;Pro;JIFF Formé
HÉGUY;Baptiste;21;196;97;France;3ème ligne;Bayonne;Espoir;JIFF
FALATEA;Sipili;22;184;116;France;Pilier;Clermont;Espoir;JIFF
APRASIDZE;Gela;22;175;70;Géorgie;Mêlée;Montpellier;Espoir;PAS ENCORE JIFF
MARTINEZ;Clément;23;181;105;France;Talonneur;Agen;Pro;JIFF
MCINTYRE;Jake;25;177;88;Australie;Ouverture;Clermont;Pro;NON JIFF
TATRE;Pierre;20;180;85;France;Ouverture;Castres;Espoir;JIFF
DELHOMMEL;Youri;23;181;100;France;Talonneur;Montpellier;Pro;JIFF
AZAGOH;Pierre-Henri;21;198;105;France;2ème ligne;Paris;Espoir;JIFF
DELBOUIS;Julien;20;185;95;France;Centre;Paris;Espoir;JIFF
DELAPORTE;Baptiste;22;190;112;France;3ème ligne;Castres;Espoir;JIFF
FISCHER;Alexandre;22;188;103;France;3ème ligne;Clermont;Espoir;JIFF
MARCHAND;Guillaume;21;183;100;France;Talonneur;Toulouse;Espoir;JIFF
THOMAS;Cody;23;186;124;Afrique du sud;Pilier;Brive;Pro;JIFF
FERNANDEZ;Jérémy;22;175;82;France;Mêlée;Castres;Espoir;JIFF
HOARAU;Thomas;24;190;112;France;3ème ligne;Toulon;Pro;JIFF
VAN TONDER;Jaco;21;197;118;Afrique du sud;2ème ligne;Clermont;Espoir;PAS ENCORE JIFF
FISI'IHOI;Siegfried;32;184;125;Tonga;Pilier;Pau;Pro;NON JIFF
